sender,role,groupNum,condition,task,M,C,M_total,C_total,M_norm,C_norm,"NES(w_m=0.6, w_c=0.4)","NES(w_m=0.5, w_c=0.5)","NES(w_m=0.4, w_c=0.6)"
p35,Senior,g9,B,2,9,331,58,2679,0.15517241379310345,0.12355356476297126,0.1425248741810506,0.13936298927803736,0.13620110437502414
p36,Junior,g9,B,2,10,240,58,2679,0.1724137931034483,0.08958566629339305,0.1392825423794262,0.13099972969842066,0.12271691701741516
p37,Senior,g10,A,1,14,341,48,1321,0.2916666666666667,0.25813777441332325,0.2782551097653293,0.27490222053999497,0.27154933131466064
p38,Senior,g10,A,1,4,88,48,1321,0.08333333333333333,0.06661619984859955,0.07664647993943982,0.07497476659096644,0.07330305324249306
p39,Senior,g10,A,1,12,286,48,1321,0.25,0.21650264950794854,0.23660105980317941,0.23325132475397425,0.22990158970476912
p40,Junior,g10,A,1,18,606,48,1321,0.375,0.4587433762301287,0.4084973504920515,0.41687168811506436,0.42524602573807724
p37,Senior,g10,B,2,22,469,67,2003,0.3283582089552239,0.23414877683474788,0.2906744361070335,0.2812534928949859,0.27183254968293824
p38,Senior,g10,B,2,8,220,67,2003,0.11940298507462686,0.10983524712930604,0.11557588989649853,0.11461911610196646,0.11366234230743436
p39,Senior,g10,B,2,13,329,67,2003,0.19402985074626866,0.16425361957064402,0.1821193582760188,0.17914173515845633,0.17616411204089388
p40,Junior,g10,B,2,24,985,67,2003,0.3582089552238806,0.49176235646530203,0.41163031572044917,0.4249856558445913,0.43834099596873344
p41,Senior,g11,A,1,10,475,46,2483,0.21739130434782608,0.19130084575110753,0.20695512090913867,0.2043460750494668,0.20173702918979494
p42,Senior,g11,A,1,9,371,46,2483,0.1956521739130435,0.14941602899718082,0.17715771594669844,0.17253410145511217,0.1679104869635259
p43,Senior,g11,A,1,8,559,46,2483,0.17391304347826086,0.225130890052356,0.19440018210789894,0.19952196676530842,0.20464375142271796
p44,Junior,g11,A,1,19,1078,46,2483,0.41304347826086957,0.43415223519935564,0.42148698103626403,0.42359785673011263,0.42570873242396123
p41,Senior,g11,C,2,12,717,59,2874,0.2033898305084746,0.24947807933194155,0.22182513003786136,0.22643395492020807,0.23104277980255478
p42,Senior,g11,C,2,10,537,59,2874,0.1694915254237288,0.18684759916492694,0.17643395492020805,0.17816956229432787,0.1799051696684477
p43,Senior,g11,C,2,9,581,59,2874,0.15254237288135594,0.20215727209464163,0.17238833256667022,0.1773498224879988,0.18231131240932735
p44,Junior,g11,C,2,28,1039,59,2874,0.4745762711864407,0.3615170494084899,0.42935258247526037,0.4180466602974653,0.4067407381196702
p45,Senior,g12,C,1,15,455,93,3254,0.16129032258064516,0.1398279041180086,0.15270535519559053,0.15055911334932687,0.1484128715030632
p46,Senior,g12,C,1,25,715,93,3254,0.26881720430107525,0.21972956361401352,0.24918214802625058,0.2442733839575444,0.23936461988883823
p47,Senior,g12,C,1,35,1377,93,3254,0.3763440860215054,0.4231714812538414,0.39507504411443983,0.3997577836376734,0.40444052316090695
p48,Junior,g12,C,1,18,707,93,3254,0.1935483870967742,0.21727105101413643,0.2030374526637191,0.2054097190554553,0.20778198544719154
p45,Senior,g12,A,2,18,538,68,2652,0.2647058823529412,0.2028657616892911,0.23996983408748113,0.23378582202111614,0.22760180995475116
p46,Senior,g12,A,2,15,645,68,2652,0.22058823529411764,0.24321266968325791,0.22963800904977377,0.2319004524886878,0.2341628959276018
p47,Senior,g12,A,2,25,1149,68,2652,0.36764705882352944,0.4332579185520362,0.39389140271493217,0.4004524886877828,0.4070135746606335
p48,Junior,g12,A,2,10,320,68,2652,0.14705882352941177,0.12066365007541478,0.13650075414781299,0.13386123680241327,0.13122171945701358
p49,Senior,g13,C,1,21,659,92,2587,0.22826086956521738,0.2547352145342095,0.23885060755281423,0.24149804204971342,0.24414547654661264
p50,Senior,g13,C,1,10,668,92,2587,0.10869565217391304,0.25821414766138384,0.16850305036890137,0.18345489991764843,0.19840674946639553
p51,Senior,g13,C,1,49,956,92,2587,0.532608695652174,0.3695400077309625,0.46738122048368935,0.45107435169156823,0.4347674828994471
p52,Junior,g13,C,1,12,304,92,2587,0.13043478260869565,0.11751063007344414,0.12526512159459505,0.1239727063410699,0.12268029108754475
p49,Senior,g13,A,2,21,656,64,2451,0.328125,0.26764585883312936,0.30393334353325174,0.2978854294165647,0.2918375152998776
p50,Senior,g13,A,2,11,518,64,2451,0.171875,0.21134230926152592,0.18766192370461038,0.19160865463076296,0.19555538555691554
p51,Senior,g13,A,2,25,627,64,2451,0.390625,0.2558139534883721,0.33670058139534886,0.32321947674418605,0.30973837209302324
p52,Junior,g13,A,2,7,650,64,2451,0.109375,0.2651978784169727,0.17170415136678907,0.18728643920848634,0.2028687270501836
p53,Senior,g14,C,1,24,787,54,2154,0.4444444444444444,0.36536675951717734,0.4128133704735376,0.4049056019808109,0.39699783348808415
p54,Senior,g14,C,1,6,208,54,2154,0.1111111111111111,0.09656453110492108,0.1052924791086351,0.10383782110801609,0.10238316310739709
p55,Senior,g14,C,1,12,765,54,2154,0.2222222222222222,0.3551532033426184,0.27539461467038073,0.28868771278242034,0.30198081089445994
p56,Junior,g14,C,1,12,394,54,2154,0.2222222222222222,0.1829155060352832,0.20649953574744662,0.2025688641287527,0.19863819251005882
p53,Senior,g14,A,2,30,797,64,1888,0.46875,0.4221398305084746,0.45010593220338985,0.4454449152542373,0.44078389830508474
p54,Senior,g14,A,2,6,123,64,1888,0.09375,0.06514830508474577,0.0823093220338983,0.07944915254237289,0.07658898305084746
p55,Senior,g14,A,2,10,475,64,1888,0.15625,0.2515889830508475,0.194385593220339,0.20391949152542374,0.2134533898305085
p56,Junior,g14,A,2,18,493,64,1888,0.28125,0.2611228813559322,0.27319915254237287,0.2711864406779661,0.26917372881355933
p57,Senior,g15,A,1,11,414,61,1630,0.18032786885245902,0.25398773006134967,0.20979181333601526,0.21715779945690433,0.2245237855777934
p58,Senior,g15,A,1,10,334,61,1630,0.16393442622950818,0.2049079754601227,0.180323845921754,0.18442120084481545,0.1885185557678769
p59,Senior,g15,A,1,8,215,61,1630,0.13114754098360656,0.13190184049079753,0.13144926078648295,0.13152469073720205,0.13160012068792115
p60,Junior,g15,A,1,32,667,61,1630,0.5245901639344263,0.4092024539877301,0.4784350799557478,0.46689630896107814,0.45535753796640854
p57,Senior,g15,C,2,10,299,86,1925,0.11627906976744186,0.15532467532467534,0.13189731199033525,0.1358018725460586,0.13970643310178193
